variable,importance,rank
WATER_RATIO,39041743130.7322,1
WATER_AET,35926554214.0133,2
WATER_DEF,20488335816.1693,3
DIST_COAST,18874886241.7924,4
NDEP,12487579582.8493,5
SRAD,11471130813.3355,6
WATER_WD,10108381780.2237,7
VPD_TC,9115782853.43571,8
WATER_AI,8199963602.9079,9
WATER_PET,7950389812.60076,10
WIND,6829018530.78561,11
pm_int,1364921092.36851,12
