gid,n,w_esi,w_bgi,w_asym
10,1859,2.81861823552848,0.175587692730826,0.00579407174069798
11,134,2.28277472203371,0.217114500519425,-0.500110777446868
12,94,2.43607561063622,0.408499111179569,-0.155425278184209
13,4231,2.55481663451078,0.231488310482041,0.213695055007183
5,2660,0.546082956164598,0.852710424392785,1.60120661944262
6,33352,2.28739634327071,0.373945264097194,-0.3386583926321
7,86,1.78959988666805,0.644666857187076,-0.565733256144879
8,69127,-0.35877728681619,-0.0574871207747595,2.58373559240905
9,2409,-0.784547397118552,1.07007121819596,1.14538138468549
