disturb_category,n,mean_esi,mean_bgi,mean_asym,mean_npp,mean_cspi,r_esi_bgi
None,101273,27.1,1.77,246.4,449,38.4,-0.483
Fire,5122,34.2,1.23,246.1,480,35.6,-0.566
Insect,3216,34.6,0.93,248.7,437,32.7,-0.103
Disease,2964,38.4,1,248.8,455,36.5,0.207
Weather,676,32.9,1.22,241.8,427,32.8,-0.565
Human,496,32.9,1.49,246.5,479,38.7,-0.715
Animal,494,34.5,1.24,248.8,402,37.2,-0.483
Vegetation,276,37.8,0.91,249.6,530,35.1,-0.092
Storm,70,32.5,0.99,255.1,387,34.7,0.29
