variable,importance,rank
DIST_COAST,23933014.2343038,1
WATER_AET,21102524.3174943,2
SRAD,19555052.8066688,3
WATER_RATIO,17071807.4022282,4
WATER_DEF,15343357.5656208,5
WATER_AI,14660781.1713522,6
WATER_PET,13859458.0404368,7
WATER_WD,12720665.3143093,8
NDEP,12605179.6194644,9
WIND,12093187.4137037,10
VPD_TC,11928025.1273052,11
pm_int,4918080.65338952,12
