subset,measure,predictor,n,oob_r2,cv_plot,cv_spatial
SITECLCD-complete (manuscript),BGI,bgi_v,63310,0.808525107505792,0.780536185617469,-0.0987556238000884
SITECLCD-complete (manuscript),ESI,esi,63310,0.75159048116534,0.720486373461311,-0.674922617170332
4-component subset,BGI,bgi_v,43964,0.774808632654115,0.721338614552479,-0.30597277581258
4-component subset,ESI,esi,43964,0.766227120474502,0.722831126330182,-0.709623072236006
