comparison,pearson,spearman,quartile_agree
RS consensus vs CSPI v3 site index (FIA),-0.387068138534681,-0.357451858337143,0.214451396951534
RS consensus vs Asym v9 biomass productivity (FIA),0.0755901183610474,-0.044375305942776,0.209879359831992
