CLSTR_ID,elev,slope,northness,eastness,tpi,rough
0046-0001-QO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
0091-0001-DO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
0221-0001-TO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
0331-0001-QO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
0332-0001-QO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
0371-0001-QO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
193C-0001-MO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
3051-0001-MO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
3061-0001-DO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
3151-0001-TO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
3391-0001-MO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
3431-0001-Q 1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
3432-0001-DO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
3434-0001-QO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
3471-0001-DO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
3471-0001-MO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
4722-0001-DR2,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
4772-0001-DO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
4791-0001-QO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
CFP5-0001-MO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
DJA1-0001-DO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
DME2-0001-MO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
DPG1-0001-DO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
IFPA-0001-NO2,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
IFPA-0001-QO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
INT2-0001-QO1,804,2,-0.5446390389790541,-0.8386705653711548,0.5185185185184764,1.4665918424679563
0046-0002-QO1,1541,20,-0.7880107518632009,0.6156614775572635,2.098765432098844,27.117305730487086
0091-0002-DO1,1541,20,-0.7880107518632009,0.6156614775572635,2.098765432098844,27.117305730487086
0221-0002-TO1,1541,20,-0.7880107518632009,0.6156614775572635,2.098765432098844,27.117305730487086
0331-0002-QO1,1541,20,-0.7880107518632009,0.6156614775572635,2.098765432098844,27.117305730487086
0332-0002-QO1,1541,20,-0.7880107518632009,0.6156614775572635,2.098765432098844,27.117305730487086
0371-0002-QO1,1541,20,-0.7880107518632009,0.6156614775572635,2.098765432098844,27.117305730487086
193C-0002-MO1,1541,20,-0.7880107518632009,0.6156614775572635,2.098765432098844,27.117305730487086
3051-0002-MO1,1541,20,-0.7880107518632009,0.6156614775572635,2.098765432098844,27.117305730487086
3061-0002-DO1,1541,20,-0.7880107518632009,0.6156614775572635,2.098765432098844,27.117305730487086
3151-0002-TO1,1541,20,-0.7880107518632009,0.6156614775572635,2.098765432098844,27.117305730487086
3391-0002-MO1,1541,20,-0.7880107518632009,0.6156614775572635,2.098765432098844,27.117305730487086
3431-0002-Q 1,1541,20,-0.7880107518632009,0.6156614775572635,2.098765432098844,27.117305730487086
3432-0002-DO1,1541,20,-0.7880107518632009,0.6156614775572635,2.098765432098844,27.117305730487086
3433-0002-DO1,1541,20,-0.7880107518632009,0.6156614775572635,2.098765432098844,27.117305730487086
3471-0002-DO1,1541,20,-0.7880107518632009,0.6156614775572635,2.098765432098844,27.117305730487086
3471-0002-MO1,1541,20,-0.7880107518632009,0.6156614775572635,2.098765432098844,27.117305730487086
4561-0002-QO1,1541,20,-0.7880107518632009,0.6156614775572635,2.098765432098844,27.117305730487086
4571-0002-QO1,1541,20,-0.7880107518632009,0.6156614775572635,2.098765432098844,27.117305730487086
4771-0002-DO1,1541,20,-0.7880107518632009,0.6156614775572635,2.098765432098844,27.117305730487086
